,Argument,positive,neutral,negative
0,Technology Trends,527,29,54
1,Market Expansion,509,19,49
2,Partnerships and Collaborations,130,2,1
3,Innovation,367,8,19
4,Competition,91,60,573
5,Market Share,938,47,189
6,Growth,2242,74,242
7,Revenue,1874,249,547
8,Margins,731,74,512
9,Market Conditions,394,172,550
10,Long-term Growth,66,9,5
11,Investments,605,110,149
12,Cash Flow,284,37,104
13,Earnings per Share,442,125,122
14,Discount Rate,0,3,0
15,Cost Management,430,50,298
16,Research and Development,181,21,13
17,Marketing,150,13,42
18,Leadership,116,11,33
19,Economic Conditions,13,8,80
20,Regulations,20,28,103
21,Dividend Policy,163,28,54
22,Balance Sheet,106,37,34
23,Shares Repurchase,94,10,4
24,Price/Earnings Ratio,42,59,31
25,Valuation,87,210,117
26,Supply Chain,98,11,103
27,Demand,39,13,39
28,Pricing Strategy,39,14,11
29,Global Presence,39,2,17
30,Legal Issues,8,6,57
31,Risk Management,75,27,231
32,Product Characteristics,78,8,4
33,Employees,42,24,37
34,Seasonality,2,9,27
35,Mergers and Acquisition,173,38,60
36,E-commerce,131,14,28
37,International Expansion,17,1,6
38,Sales,44,9,17
39,Financial Performance,328,48,162
40,Production,55,17,38
41,Intellectual Property,6,6,10
42,Return On Equity,46,12,8
43,Profitability,63,6,31
44,Customer,155,31,28
45,Customers,148,10,30
46,Industry Outlook,15,2,7
47,Competitive Position,50,0,18
48,Debt,10,20,96
49,Privacy,5,0,21
50,Inventory,21,13,28
51,Sales Performance,34,12,46
52,Product Strategy,79,8,15
53,Brand Image,21,1,5
54,Earnings,288,66,146
55,Currency Exchange,3,6,57
56,Operations,52,10,20
57,Productivity,19,1,2
58,Financial Strength,19,1,3
59,Stock Price,24,7,28
60,Market Cap,12,13,7
61,Deferred Revenue,6,2,4
62,Backlog,7,0,1
63,Product Performance,64,4,16
64,Geographic Expansion,4,0,1
65,Guidance,24,16,14
66,Net Income,9,1,3
67,Operating Margin,62,14,11
68,Tax Rate,24,27,27
69,Stock Repurchase,147,29,22
70,Capital Allocation,21,8,4
71,Stock Performance,46,8,42
72,Executive Compensation,5,1,2
73,Digital Initiatives,12,0,0
74,Interest Rates,15,7,27
75,Management,38,7,32
76,Return On Invested Capital,17,1,9
77,Stock Ownership,12,1,1
78,Diversification,2,1,0
79,Quality,4,0,2
80,Value Investing,4,0,1
81,Fundamentals,1,1,1
82,Operating Expense,2,4,5
83,Gross Profits,8,0,1
84,Operating Income,12,5,3
85,Free Cash Flow,62,9,22
86,Debt Reduction,30,1,2
87,Capital Expenditure,9,29,18
88,Return On Investment,1,0,1
89,Acquisitions,12,5,5
90,Stock Recommendation,33,16,12
91,Sales Growth,342,22,150
92,Synergies,17,4,0
93,Tax Policy Impact,8,3,19
94,Earnings Forecast,124,73,125
95,Collaborations,34,0,8
96,Processes,15,1,2
97,Entrepreneurs,1,0,0
98,Product Development,74,7,10
99,Performance,5,1,2
100,Marketplace,14,1,2
101,Geopolitical Risk,0,2,22
102,Refranchising,11,0,0
103,Customer Acquisition,22,0,3
104,Customer Retention,13,3,2
105,EPS Guidance,0,0,1
106,Spending,2,5,0
107,EPS,10,2,1
108,Stock-Based Compensation,1,3,4
109,Risks,1,1,35
110,Talent Management,4,0,6
111,EBIT Margin,9,0,1
112,Trust,0,0,2
113,Employee Satisfaction,7,0,0
114,Rail Pricing,1,0,0
115,Energy Impact,1,0,1
116,Parcel Carriers Momentum,1,0,0
117,Truckload Carriers Rates,1,0,0
118,Brokers Uncertainty,0,1,0
119,Stock Specific Level,0,1,0
120,UNP Stock Consensus,1,0,0
121,XPO Interest,0,1,0
122,KSU Perception,0,0,1
123,UPS Attention,0,1,0
124,Operating Metrics,1,0,1
125,Truckload Rates,1,0,0
126,Inventory Management,33,7,19
127,Product Innovation,47,3,7
128,Data Protection,5,0,5
129,Operational Issues,0,0,8
130,Efficiency,56,2,4
131,Revenue Recognition,4,0,3
132,Corporate Social Responsibility,3,0,0
133,Customer Service,19,0,3
134,Advertising,20,4,17
135,Taxes,0,4,1
136,Accounting Practices,0,1,1
137,General Economic Trends,1,0,2
138,Market Data,3,1,0
139,EBITDA,10,10,10
140,Franchise Management,3,0,2
141,Cash Management,3,1,1
142,Stock Buyback,13,1,0
143,Cash Position,16,0,1
144,Sentiment,4,2,7
145,Efficacy,24,5,2
146,Safety,22,1,4
147,Divestment,9,1,1
148,Tax Liability,2,1,7
149,Leverage,2,16,5
150,Global Expansion,14,0,4
151,Earnings Quality,22,4,10
152,Market Trends,56,10,9
153,Promotions,4,7,2
154,Business Transformation,4,0,0
155,Digital Transformation,15,0,0
156,Customer Experience,49,0,3
157,Process Optimization,1,0,0
158,Quality Management,6,0,0
159,Regulatory Approval,14,4,12
160,Clinical Trials,49,13,12
161,Drug Development,19,4,10
162,Expenses,2,15,32
163,Loan Portfolio,8,12,22
164,Return On Assets,2,4,0
165,Return On Tangible Common Equity,9,5,3
166,Capital Adequacy,20,3,4
167,Operating Leverage,21,1,11
168,Investment Banking,16,1,3
169,Sales & Trading,4,1,2
