,Argument,positive,neutral,negative
0,Technology Trends,443.0,36.0,58.0
1,Market Share,1348.0,96.0,288.0
2,Partnerships and Collaborations,168.0,8.0,2.0
3,Innovation,331.0,8.0,18.0
4,Competition,93.0,83.0,596.0
5,Growth,1440.0,44.0,204.0
6,Market Conditions,362.0,197.0,564.0
7,Revenue,1260.0,229.0,492.0
8,Margins,623.0,83.0,466.0
9,Leadership,153.0,21.0,41.0
10,Long-term Growth,81.0,9.0,8.0
11,Investments,506.0,102.0,123.0
12,Earnings per Share,359.0,110.0,93.0
13,Cash Flow,264.0,33.0,83.0
14,Market Expansion,573.0,26.0,56.0
15,Cost Management,429.0,48.0,237.0
16,Research and Development,147.0,18.0,12.0
17,Marketing,134.0,13.0,40.0
18,Transparency,4.0,1.0,3.0
19,Economic Conditions,28.0,15.0,102.0
20,Demand,39.0,5.0,48.0
21,Regulations,17.0,32.0,96.0
22,Dividend Policy,143.0,20.0,51.0
23,Valuation,108.0,293.0,132.0
24,Balance Sheet,105.0,48.0,38.0
25,Shares Repurchase,91.0,18.0,10.0
26,Price/Earnings Ratio,37.0,62.0,35.0
27,Earnings Growth,435.0,49.0,110.0
28,Supply Chain,86.0,26.0,125.0
29,Pricing Strategy,45.0,20.0,29.0
30,Global Presence,74.0,4.0,19.0
31,Customer,167.0,30.0,52.0
32,Mergers and Acquisition,156.0,49.0,53.0
33,Legal Issues,5.0,14.0,60.0
34,Risk Management,51.0,13.0,133.0
35,Reputation,2.0,0.0,13.0
36,Return On Equity,50.0,12.0,12.0
37,Product Characteristics,232.0,43.0,21.0
38,Inventory,5.0,12.0,21.0
39,Asset Management,20.0,4.0,8.0
40,Financial Impact,93.0,41.0,109.0
41,Employees,25.0,18.0,35.0
42,Gross Profits,8.0,1.0,7.0
43,Net Sales,2.0,0.0,5.0
44,Accounts Payable,0.0,1.0,5.0
45,Guidance,49.0,48.0,24.0
46,International Expansion,33.0,2.0,7.0
47,Operating Income,46.0,15.0,21.0
48,Net Income,21.0,3.0,12.0
49,Competitive Positioning,54.0,1.0,12.0
50,Financial Health,127.0,12.0,39.0
51,Inventory Management,63.0,13.0,54.0
52,Debt Level,24.0,26.0,65.0
53,Acquisitions,43.0,10.0,24.0
54,Product Innovation,213.0,17.0,27.0
55,Sales Growth,119.0,13.0,30.0
56,Processes,19.0,0.0,4.0
57,Production,56.0,27.0,53.0
58,Intellectual Property,5.0,13.0,4.0
59,Operating Margin,112.0,16.0,18.0
60,Consumer Spending,6.0,3.0,9.0
61,Consumer,10.0,19.0,11.0
62,Industry Outlook,51.0,3.0,17.0
63,Bookings Growth,6.0,1.0,1.0
64,Backlog Growth,15.0,0.0,2.0
65,Attrition Rates,2.0,1.0,0.0
66,Hiring,5.0,1.0,1.0
67,Product Areas,11.0,0.0,0.0
68,Customer Segments,16.0,3.0,4.0
69,Geographies,13.0,3.0,2.0
70,Industry Vertical Positioning,7.0,1.0,1.0
71,Customer Relationships,80.0,0.0,5.0
72,Product Expansion,54.0,0.0,0.0
73,Sales and Marketing,16.0,1.0,10.0
74,Tax Rate,29.0,28.0,21.0
75,Operating Leverage,31.0,1.0,15.0
76,Currency Exchange,4.0,14.0,67.0
77,Customers,23.0,0.0,10.0
78,Marketplaces,29.0,4.0,10.0
79,Payments,6.0,1.0,2.0
80,eBay Enterprise,0.0,1.0,0.0
81,Interest Rates,9.0,8.0,14.0
82,Management,26.0,14.0,16.0
83,Expenses,12.0,29.0,69.0
84,Price Trends,8.0,6.0,12.0
85,Earnings Call,8.0,9.0,3.0
86,Stock Buyback,44.0,7.0,14.0
87,Organic Growth,9.0,5.0,2.0
88,Taxes,0.0,8.0,9.0
89,Market Growth,25.0,2.0,6.0
90,Dividend Yield,17.0,20.0,2.0
91,Payout Ratio,0.0,1.0,1.0
92,Profitability,67.0,4.0,25.0
93,Stock Split,1.0,2.0,1.0
94,Privacy,2.0,1.0,12.0
95,Operations,19.0,4.0,7.0
96,Brand Loyalty,8.0,0.0,2.0
97,Customer Engagement,59.0,1.0,3.0
98,Brand Awareness,21.0,0.0,4.0
99,Global Expansion,27.0,0.0,2.0
100,E-commerce,70.0,4.0,19.0
101,Financial Position,3.0,0.0,0.0
102,Customer Interest,3.0,0.0,2.0
103,Expense Growth,1.0,2.0,1.0
104,Data Collection,7.0,1.0,1.0
105,Customer Satisfaction,9.0,0.0,1.0
106,Efficiency,77.0,3.0,3.0
107,Capacity,6.0,6.0,0.0
108,Employee Productivity,8.0,1.0,0.0
109,Asset Utilization,2.0,0.0,0.0
110,Productivity,26.0,1.0,1.0
111,Stock Repurchase,124.0,30.0,12.0
112,Free Cash Flow,122.0,15.0,37.0
113,Earnings Momentum,4.0,0.0,2.0
114,Market Trends,95.0,37.0,42.0
115,Turnaround Success,15.0,2.0,2.0
116,Customer Service,8.0,0.0,2.0
117,Cost Reduction,17.0,0.0,2.0
118,Mobile,19.0,0.0,2.0
119,Seller Services,2.0,0.0,0.0
120,Customer Loyalty,14.0,0.0,0.0
121,EBITDA Forecast,3.0,1.0,1.0
122,Stock Price Appreciation,7.0,0.0,1.0
123,Stock Performance,35.0,10.0,29.0
124,Succession Planning,6.0,1.0,2.0
125,Divestiture,14.0,2.0,4.0
126,Commodity Costs,4.0,0.0,13.0
127,Product Divestitures,1.0,0.0,3.0
128,Challenges,0.0,0.0,6.0
129,Pricing,2.0,1.0,2.0
130,New Product Releases,1.0,0.0,0.0
131,Currency Headwinds,0.0,0.0,6.0
132,Gross Margin,59.0,6.0,32.0
133,EPS Estimate,3.0,0.0,1.0
134,Organizational Structure,2.0,0.0,2.0
135,CEO Succession,2.0,2.0,5.0
136,Market Cap,19.0,21.0,7.0
137,Distribution,8.0,1.0,1.0
138,Orders,1.0,2.0,0.0
139,Platform,3.0,0.0,0.0
140,Spin-off,12.0,3.0,0.0
141,Diversification,4.0,1.0,0.0
142,Operating Expenses,4.0,12.0,24.0
143,Advertising,31.0,7.0,16.0
144,Sales Performance,25.0,8.0,11.0
145,Cloud Services,8.0,0.0,1.0
146,Security,1.0,0.0,5.0
147,Operating Profit,4.0,0.0,2.0
148,Stock Price,22.0,7.0,13.0
149,Earnings Guidance,27.0,30.0,30.0
150,Talent Acquisition,4.0,0.0,3.0
151,Capital Allocation,25.0,7.0,4.0
152,Commodity Prices,10.0,4.0,23.0
153,Drilling Results,2.0,1.0,0.0
154,Oil Cuts,2.0,0.0,0.0
155,Oil Prices,9.0,3.0,10.0
156,Oil Leverage,2.0,0.0,0.0
157,Industry Wells,0.0,1.0,1.0
158,Asset Valuation,6.0,0.0,0.0
159,E&P Stocks,0.0,2.0,1.0
160,Net Asset Value,2.0,0.0,0.0
161,EBITDAX,0.0,1.0,0.0
162,Debt-adjusted Cash Flow,0.0,1.0,0.0
163,Oil Production,9.0,0.0,5.0
164,Natural Gas Production,3.0,0.0,2.0
165,Proved Reserves,3.0,1.0,0.0
166,Exploration,18.0,2.0,1.0
167,Executive Compensation,4.0,2.0,2.0
168,Stockholders' Interests Alignment,2.0,0.0,1.0
169,EBIT,13.0,1.0,2.0
170,Share Repurchase,13.0,2.0,2.0
171,SG&A Expense,12.0,0.0,16.0
172,Inflation,4.0,17.0,17.0
173,Customer Acquisition,12.0,1.0,6.0
174,Commercial Effort,1.0,0.0,0.0
175,Risk,0.0,6.0,60.0
176,Stock Price Performance,18.0,5.0,7.0
177,Seasonality,0.0,23.0,6.0
178,Digital Initiatives,5.0,0.0,0.0
179,Marketplace,7.0,3.0,3.0
180,Cash Return to Shareholders,1.0,1.0,1.0
181,Revenue Growth,1239.0,67.0,228.0
182,EBITDA,60.0,20.0,31.0
183,Risk/Reward Profile,12.0,5.0,4.0
184,Return On Invested Capital,18.0,0.0,6.0
185,Stock Ownership,3.0,0.0,2.0
186,Services,6.0,0.0,0.0
187,Market Correction,0.0,0.0,3.0
188,Quality,7.0,0.0,2.0
189,Central Banks,0.0,0.0,1.0
190,Monetary Policy,0.0,0.0,1.0
191,Value,6.0,0.0,1.0
192,Sentiment,3.0,2.0,6.0
193,Fundamentals,4.0,1.0,1.0
194,Dividend Growth,1.0,0.0,1.0
195,Global Growth,9.0,0.0,1.0
196,Options Trading,2.0,2.0,3.0
197,Cost of Capital,0.0,3.0,0.0
198,Earnings,113.0,34.0,70.0
199,Net Income Growth,3.0,0.0,1.0
200,Sustainability,23.0,0.0,3.0
201,EBIT Margin,17.0,4.0,4.0
202,Capital Expenditure,11.0,36.0,22.0
203,Franchising,13.0,0.0,2.0
204,Profit,6.0,1.0,2.0
205,Price Target,8.0,23.0,4.0
206,Returns,2.0,0.0,0.0
207,Wage Pressure,3.0,1.0,3.0
208,EBITDAR,1.0,0.0,0.0
209,Return On Investment,6.0,2.0,4.0
210,Professional Services Growth,1.0,0.0,0.0
211,Subscription Revenues Growth,10.0,0.0,0.0
212,Acquisition Impact,4.0,1.0,2.0
213,Foreign Exchange Impact,1.0,0.0,5.0
214,Diluted EPS Beat,1.0,0.0,0.0
215,Full Year Revenue Guidance,1.0,1.0,0.0
216,Adjusted EPS Guidance,1.0,0.0,0.0
217,Fiscal 2018 Revenue Guidance,1.0,0.0,0.0
218,Technology Innovation,156.0,3.0,3.0
219,Domestic Affiliate Fees,1.0,0.0,0.0
220,Volatility,1.0,1.0,1.0
221,Revenue Guidance,13.0,5.0,12.0
222,Macroeconomic Conditions,5.0,2.0,14.0
223,Stock Rating,3.0,1.0,1.0
224,Synergies,9.0,3.0,1.0
225,Economies of Scale,1.0,0.0,0.0
226,Debt Repayment,2.0,0.0,1.0
227,Tax Impact,16.0,5.0,21.0
228,Earnings Forecast,19.0,7.0,17.0
229,Refranchising,10.0,2.0,1.0
230,Price Performance,18.0,9.0,3.0
231,User Experience,7.0,0.0,2.0
232,Structured Data,2.0,0.0,0.0
233,Brand Marketing,3.0,2.0,3.0
234,Product Development,12.0,0.0,4.0
235,Same-store Sales,3.0,1.0,2.0
236,Digital Engagement,3.0,0.0,0.0
237,Food Sales Growth,2.0,0.0,0.0
238,Customer Experience,21.0,1.0,1.0
239,Safety,15.0,2.0,1.0
240,EPS,10.0,1.0,1.0
241,Interest Expense,1.0,10.0,8.0
242,Market Interest,4.0,1.0,1.0
243,Subscriber Growth,9.0,1.0,0.0
244,Expense Management,12.0,1.0,5.0
245,Interest Income,2.0,1.0,2.0
246,Strategic Review,0.0,1.0,0.0
247,Shareholder Value,5.0,0.0,1.0
248,Executive Experience,1.0,0.0,0.0
249,Performance,4.0,1.0,3.0
250,Customer Retention,7.0,0.0,5.0
251,Mining Technology,1.0,0.0,1.0
252,Geopolitical Risk,0.0,6.0,19.0
253,Target Price,1.0,0.0,0.0
254,SEO Efficiency,1.0,0.0,0.0
255,Stock-based Compensation,1.0,2.0,2.0
256,Transaction Revenue,10.0,2.0,0.0
257,Value-added Services,4.0,0.0,2.0
258,TPV Growth,4.0,0.0,0.0
259,Mobile TPV,4.0,0.0,0.0
260,Venmo Volume,8.0,0.0,0.0
261,P2P Products,6.0,0.0,0.0
262,Transaction Margin,4.0,0.0,3.0
263,Expenses Control,1.0,0.0,0.0
264,Earnings Per Share,139.0,46.0,47.0
265,Operating Loss,1.0,0.0,5.0
266,Yield Improvement,1.0,0.0,0.0
267,PC Sales,4.0,1.0,4.0
268,Data Center Spending,2.0,0.0,4.0
269,Channel Restocking Activity,0.0,0.0,4.0
270,Risks,0.0,2.0,12.0
271,Market Data to EBIT $,0.0,0.0,1.0
272,Trust,1.0,0.0,2.0
273,Employee Satisfaction,6.0,0.0,0.0
274,Employee Turnover,0.0,0.0,2.0
275,Service Levels,2.0,0.0,0.0
276,Earnings Estimate,19.0,12.0,22.0
277,Tax Reform Benefits,5.0,0.0,0.0
278,Earnings Outlook,6.0,3.0,5.0
279,Pricing Environment,2.0,0.0,0.0
280,Capacity Expansion,6.0,3.0,2.0
281,Service Improvement,1.0,0.0,0.0
282,Operating Metrics,0.0,1.0,1.0
283,Wage Inflation Risk,1.0,0.0,0.0
284,Truckload Rates,1.0,0.0,0.0
285,PTC Implications,0.0,0.0,1.0
286,Rail Operations,0.0,0.0,1.0
287,Mobile Order and Pay,2.0,0.0,0.0
288,Financial Performance,41.0,5.0,27.0
289,Operating EPS,5.0,1.0,0.0
290,Operating Agreement,0.0,1.0,0.0
291,Adjusted EPS,1.0,1.0,3.0
292,Store Expansion,5.0,1.0,0.0
293,Housing Market,1.0,0.0,0.0
294,Deferred Revenue,3.0,0.0,2.0
295,Subscription Billings,1.0,0.0,0.0
296,Global Trade,1.0,1.0,0.0
297,Tariffs,1.0,1.0,6.0
298,Income Generation,1.0,0.0,0.0
299,Volatility Premiums,1.0,0.0,0.0
300,Stock Appreciation,2.0,0.0,2.0
301,Downside Protection,1.0,0.0,0.0
302,Product Performance,22.0,0.0,4.0
303,Data Privacy,5.0,0.0,9.0
304,Total Payment Volume (TPV),5.0,0.0,0.0
305,Mobile Payment Volume,6.0,0.0,0.0
306,Marketing Technology,3.0,0.0,0.0
307,Digital Experiences,3.0,0.0,0.0
308,E-commerce Growth,54.0,1.0,8.0
309,Unearned Revenue,0.0,0.0,1.0
310,Bookings Mix,0.0,1.0,0.0
311,Data Analytics,7.0,0.0,0.0
