argument_list,Automobile,Beauty,Clothing,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Food,Healthcare,Industrials,Materials,Retail,Technology,Travel
API Integration,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Accounting Practices,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ad ARPU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Apparel Recovery,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Asset-Light Models,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Backlog,0,0,0,0,2,0,0,1,0,0,1,0,0,4,0
Balance Sheet,12,7,7,17,26,10,55,97,5,8,7,8,15,29,5
Branded Exposure,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brokers Uncertainty,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Business Transformation,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
COVID Impact,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5
Capacity Expansion,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Capital Markets,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Capital Structure,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cash Flow,40,12,18,53,27,15,91,25,30,39,79,31,5,81,2
Clinical Trials,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
Commercial Banking,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Commercial Lending,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Commodities,0,0,0,0,2,1,2,0,7,0,1,1,0,0,0
Commodity Prices,6,0,0,0,1,0,2,0,0,0,0,2,0,0,0
Competition,21,26,67,110,53,52,6,54,32,96,24,2,39,176,34
Competitors,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Compliance,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Consumer Pressure,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Consumer Spending,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Consumer Trends,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Content Spend,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Contracts,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Corporate Governance,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0
Corporate Lending,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Corporate Social Responsibility,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Cost Management,78,44,56,51,83,84,50,144,63,18,48,39,47,29,44
Cost of IBL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Credit,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
Credit Quality,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0
Credit Risk,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
Cross-border Transactions,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Crypto Demand Impact,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Crypto Volatility,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cryptocurrency,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Cryptocurrency Impact,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Culture,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Currency,0,2,20,0,5,6,0,16,23,19,2,5,1,1,1
Customer,14,29,55,41,74,53,1,105,40,7,4,0,25,74,18
Customer Relationship,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Customer Remediation,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Customer Satisfaction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Customer Spending,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cybersecurity,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Data Analytics,0,0,1,0,0,0,0,2,2,0,0,0,3,2,0
Data Protection,1,0,0,6,0,0,0,0,1,0,0,0,0,2,0
Debt,1,14,6,20,4,0,29,7,1,10,13,3,11,7,0
Debt Underwriting,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Demand,6,1,9,5,14,3,5,3,1,3,15,2,6,22,9
Demographics,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deposit Costs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deposit Growth,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Deposits,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Depreciation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Digital Platforms,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Digitalization,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Discount Rate,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Diversification,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Diversity,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Divestment,0,0,0,0,1,0,0,5,1,3,0,1,0,0,0
Dividend Policy,1,1,19,36,5,28,62,20,25,5,7,18,0,16,2
Dividend Yield,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
E-commerce,1,22,14,7,31,48,0,22,2,0,1,0,20,4,1
EBIT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EBITDA Multiple,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EPS Guidance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Earnings,36,22,33,32,22,37,43,76,42,42,17,15,15,37,31
Earnings Call Focus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Earnings Catalysts,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Earnings Forecast,28,21,39,14,10,23,11,42,30,43,15,14,15,22,12
Earnings Momentum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Earnings Risk,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Earnings Visibility,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Earnings per Share,9,15,87,63,70,48,8,69,57,54,17,7,25,154,19
Economic Conditions,4,1,8,11,16,20,6,101,11,1,3,10,2,9,8
Economic Recovery,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Efficacy,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0
Employees,5,2,19,7,23,20,0,12,7,27,8,1,0,18,1
Energy Impact,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Energy Sector,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Engagement,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Engineering Talent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Entrepreneurs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Equity,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Equity Underwriting,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Execution,0,1,0,4,1,1,1,1,2,0,2,0,3,4,0
Execution Risk,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
Executive Changes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Executive Compensation,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0
Expense,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Exploration,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0
FICC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fashion Trends,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Fee Income,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fees,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Fees and Costs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Financial Impact,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Financial Performance,29,20,35,29,38,21,45,167,29,35,28,22,32,47,20
Financial Position,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
Financial Risk,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Financial Services,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fintech Partnerships,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Flexibility,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fundamentals,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
GPU Market,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GPU Pricing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GPU Supply Outlook,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gaming Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
General Economic Trends,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Geographic Expansion,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
Geopolitical Risk,0,0,17,0,0,0,2,1,1,0,0,0,0,1,2
Global Presence,0,5,12,2,7,6,1,13,13,3,3,1,1,4,5
Government Policies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Growth,139,167,338,164,335,175,72,268,262,354,98,44,88,542,79
Guidance,1,1,5,3,5,1,4,5,4,1,5,1,1,15,2
HELOC Utilization,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Health Impact,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0
Holiday Sales,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
IT Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial Recovery,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Industry Outlook,4,12,0,7,2,4,1,14,5,21,5,3,1,15,5
Innovation,45,29,39,22,18,23,2,33,26,93,3,2,7,109,0
Innovations,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Insurance,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integration,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Interest Expense,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Inventory Management,7,18,34,0,12,6,0,0,2,0,6,0,26,10,0
Investment Banking,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Investments,70,30,55,98,66,41,92,124,40,70,64,32,27,88,27
Investor Concerns,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Investor Confidence,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
KSU Perception,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LNG Pricing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leadership,8,7,23,11,32,22,3,30,18,20,9,1,5,46,2
Leverage,1,2,0,0,2,3,0,5,4,0,0,0,1,2,3
Licensing Revenue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Litigation,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0
Litigation Concerns,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Litigation and Regulation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Loan Demand,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Loan Loss Reserves,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Loan Portfolio,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
Loan Syndication,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Logistics Costs,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Long-term Growth,4,3,12,9,5,4,5,13,9,2,4,1,1,7,1
Manufacturing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Margin Compression,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Margins,66,101,202,102,132,109,39,73,132,65,64,19,103,228,68
Market Cap,2,1,0,1,6,1,0,2,3,7,0,1,0,5,3
Market Conditions,47,65,83,71,71,73,41,119,85,75,98,39,29,118,102
Market Data,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
Market Expansion,41,27,58,20,56,37,8,79,51,78,23,3,11,94,15
Market Expectations,3,0,1,0,0,1,1,1,0,1,1,1,0,0,2
Market Performance,0,2,2,0,3,4,0,5,1,0,0,1,0,1,5
Market Recognition,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Market Share,28,62,73,133,139,79,7,98,81,109,30,5,51,225,54
Marketing,6,18,25,40,59,14,0,8,31,3,1,0,12,20,55
Marketplace,0,0,2,0,13,1,0,1,0,0,0,0,0,0,0
Mergers and Acquisition,2,14,2,20,12,3,13,60,11,87,3,6,9,44,7
Mergers and Acquisition Advisory,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Mortgage Production,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Natural Gas,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Net Cash,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Net Charge-offs,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Oil & Gas Industry,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Oil Prices,2,0,0,0,0,1,12,1,0,0,0,0,0,0,0
Operating Leverage,0,0,0,1,0,3,0,19,0,6,0,0,0,4,0
Operating Margin Return on Inventory,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Operating Metrics,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Operating Performance,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Operational Issues,0,0,0,2,0,1,4,1,0,0,0,0,0,0,0
Operational Performance,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Operations,3,5,5,2,5,6,11,4,7,0,20,3,5,3,3
Organizational Structure,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Parcel Carriers Momentum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Partnerships and Collaborations,15,6,7,5,0,2,0,28,9,70,1,0,3,28,1
Pension Obligations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance,0,0,0,0,1,0,0,3,0,1,0,0,0,3,0
Pipeline,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Price Shock Absorber,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Price/Earnings Ratio,7,7,31,5,9,7,0,2,12,6,8,4,13,18,3
Price/Mix Strategy,1,1,0,0,2,3,0,0,23,2,1,0,0,1,0
Pricing Strategy,8,1,2,2,5,9,1,3,16,6,13,1,0,4,0
Process Optimization,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Processes,4,1,2,0,2,12,3,22,14,2,23,1,3,13,0
Product Characteristics,12,5,5,2,0,4,0,0,8,22,0,0,2,27,3
Product Performance,1,1,15,0,4,0,0,0,2,29,0,0,0,31,1
Product Strategy,7,9,21,3,8,6,0,3,11,4,1,0,13,13,3
Production,25,0,1,0,0,0,46,0,3,3,14,16,1,1,0
Profitability,15,3,6,9,12,6,0,4,7,14,5,1,2,9,7
Programming Expenses,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Provision Expense,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Quality,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0
Quality Management,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0
R&D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rail Pricing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Real Estate,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Refranchising,1,0,1,0,0,0,0,0,21,0,0,0,0,0,0
Regulations,12,1,1,89,17,3,11,96,2,97,7,8,0,17,2
Research and Development,18,1,6,13,13,1,1,5,1,238,6,1,0,43,1
Reserve Build,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Reserve Release,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Restructuring,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0
Retail Initiatives,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Retail Landscape,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Return On Equity,2,1,0,3,14,3,5,49,10,10,5,6,0,8,5
Return On Investment,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Revenue,81,83,194,279,343,122,44,390,202,257,75,23,92,611,171
Risk Management,10,7,6,18,19,5,16,120,12,38,19,10,17,25,11
Risk/Reward,0,1,0,1,0,2,0,2,7,1,1,0,2,1,0
Risks,6,3,1,1,1,0,0,2,4,15,1,0,0,3,0
SG&A Growth,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Safety,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0
Safety Profile,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Sales & Trading,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Sales Channels,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Sales Forecast,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sales Performance,2,10,10,0,13,13,0,1,12,13,2,2,5,9,0
Sales Promotion,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Sales Risk,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Scalability,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Seasonality,0,0,18,1,7,1,0,4,0,0,0,0,2,5,0
Securities,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Securities Losses,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Security,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Security Breach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sentiment,0,0,0,1,1,2,0,0,1,1,0,1,1,3,2
Shareholder Returns,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Shares Outstanding,0,1,0,2,1,0,0,5,0,1,0,0,0,2,3
Shares Repurchase,0,4,38,15,37,13,40,51,9,11,11,10,28,38,15
Stock Dilution,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
Stock Ownership,0,1,8,0,2,1,0,1,0,0,0,0,0,0,1
Stock Performance,7,7,11,2,10,4,7,5,4,18,3,2,7,7,2
