,Argument,positive,neutral,negative
0,Technology Trends,272,7,14
1,Market Conditions,642,215,790
2,Partnerships and Collaborations,203,3,4
3,Growth,3409,75,447
4,Innovation,446,5,28
5,Market Share,340,4,60
6,Competition,90,33,451
7,Revenue,3390,120,738
8,Margins,885,54,558
9,Earnings per Share,1170,112,376
10,Economic Conditions,26,18,130
11,Cost Management,449,23,185
12,Customers,81,3,27
13,Demand,143,26,101
14,Investments,510,22,127
15,Long-term Growth,311,13,16
16,Cash Flow,583,51,186
17,Research and Development,165,8,20
18,Marketing,101,3,22
19,Leadership,116,12,25
20,Complexity,0,1,11
21,Regulations,26,10,63
22,Dividend Policy,108,3,32
23,Balance Sheet,112,9,25
24,Shares Repurchase,166,1,8
25,Price/Earnings Ratio,36,5,33
26,Supply Chain,68,11,61
27,Capacity,41,2,22
28,Market Expansion,417,3,7
29,Management,214,31,67
30,Liability,0,3,8
31,Risk Management,58,14,85
32,Operations,60,9,34
33,Valuation,50,39,72
34,Pricing Strategy,67,13,37
35,Global Presence,32,0,0
36,Industry Outlook,12,2,2
37,Guidance,204,52,129
38,Employees,34,1,27
39,Clinical Trials,216,18,23
40,FDA Approval,69,7,8
41,Commercial Viability,62,7,7
42,Product Characteristics,40,0,6
43,Medical Technology,23,1,0
44,Return On Equity,75,13,9
45,Exploration,14,2,1
46,Production,78,16,59
47,Mergers and Acquisition,55,7,21
48,Legal Risks,8,5,15
49,Sales,117,12,80
50,Inventory,38,13,36
51,Debt Reduction,27,1,4
52,Divestiture,6,1,1
53,Portfolio Restructuring,0,1,0
54,Incentives,9,0,1
55,Competitive Positioning,108,0,9
56,Risks,5,9,501
57,Profitability,258,17,100
58,Tax Rate,46,18,30
59,Acquisitions,46,7,21
60,Network Reach,3,0,0
61,Traffic Diversity,1,0,0
62,Efficiency,87,2,5
63,Dividends,46,2,9
64,Manufacturing,2,0,6
65,Distribution,4,0,0
66,Orders,3,0,1
67,Costs,17,9,222
68,Governance,3,0,9
69,Traffic,49,1,19
70,Labor Costs,3,0,7
71,Liquidity,61,8,13
72,Assets,20,4,3
73,Drilling Results,1,1,0
74,Oil Cuts,2,0,0
75,Oil Leverage,1,0,0
76,Financial Condition,107,25,97
77,Goodwill and Intangibles,0,0,1
78,Volatility,2,1,11
79,Inflation,0,2,7
80,Debt,39,20,75
81,Gross Profits,6,1,1
82,Shipping Costs,1,0,1
83,Accounts Payable,0,0,1
84,Operating Income,26,2,9
85,Price Performance,6,1,7
86,Performance,79,9,22
87,Products,10,0,0
88,Digital Engagement,54,0,0
89,Food Sales Growth,1,0,0
90,Same-store Sales,1,0,0
91,Safety,18,0,3
92,Shareholders,6,0,8
93,Capital Expenditure,25,14,25
94,Brand Reputation,9,0,1
95,Reserves,3,2,2
96,Mining Operations,1,0,0
97,Sustainability,45,0,1
98,Refranchising,3,0,0
99,Customer Engagement,106,2,3
100,Ownership,11,0,0
101,Customer Dependency,1,0,7
102,Options,1,0,0
103,Collaboration,6,0,1
104,Operational Efficiency,28,3,3
105,Investment,4,1,2
106,Expenses,13,9,51
107,International Demand,10,1,2
108,Trustworthiness,0,0,1
109,Franchisee Interest,2,0,0
110,Engagement Metrics,4,1,1
111,Buyback,10,1,3
112,Credibility,0,1,1
113,Loans,12,1,3
114,Deposits,10,2,0
115,Asset Quality,5,0,3
116,Efficacy,14,0,0
117,Consumer Sentiment,3,1,2
118,Labor Market,1,1,0
119,Holiday Spend,1,0,0
120,Business Environment,0,1,0
121,CEO Sentiment,1,0,0
122,Infrastructure,1,0,1
123,Strategic Positioning,5,1,0
124,Credit Reserve,0,1,0
125,Capital Management,23,5,6
126,Credit Quality,11,0,7
127,Book Value,1,0,0
128,Return On Assets,7,1,0
129,Return On Tangible Common Equity,4,0,0
130,Asset Sensitivity,0,2,0
131,Loan Loss Provision,2,0,7
132,Reserve/Loan Ratio,0,0,1
133,Non-Performing Loans,0,1,0
134,Execution,14,0,14
135,Culture,4,0,1
136,Fundamentals,2,0,0
137,Free Cash Flow,34,1,5
138,Resource Estimate,2,0,0
139,Productivity,10,0,0
140,Resources,3,0,0
141,Share Repurchase,7,2,0
142,Credit Risk,1,0,3
143,Accounts,1,0,0
144,Transaction Revenue,1,0,0
145,Yields,1,0,0
146,E-commerce,9,1,3
147,Credit,8,1,3
148,Loan Loss Reserve,1,0,3
149,Community Support,1,0,0
150,Commitment,1,0,0
151,Equity,1,6,0
152,Loan Issuance,0,0,1
153,Milestones,1,0,0
154,Contracts,2,0,0
155,Earnings Outlook,57,9,31
156,Litigation,1,0,2
157,Patent,0,0,1
158,Product Launch,1,0,0
159,Advertising,9,1,1
160,Ad Revenue,2,0,0
161,Loan Management,2,1,0
162,Consumer Behavior,24,3,2
163,Support,2,0,0
164,Capital Ratios,4,1,0
165,Interest Rates,4,1,1
166,Volume,1,0,3
167,Customer Behavior,20,3,4
168,Footwear,1,0,0
169,Restructuring,4,0,2
170,Accountability,1,0,2
171,Financial Performance,78,11,25
172,Targets,0,0,1
173,Loan Loss Reserves,1,0,0
174,Return On Capital Employed,6,0,1
175,Fee Income,1,0,0
176,Net Interest Income,4,1,3
177,Churn,1,0,1
178,Subscriber Growth,3,1,1
179,Commitments,1,0,0
180,Earnings Performance,90,11,47
181,Engagement,13,0,2
182,Employee Engagement,3,0,0
183,Spectrum Acquisition,0,0,1
184,Network Performance,1,0,1
185,Awards,1,0,0
186,Working Capital,2,0,0
187,Leverage,3,0,5
188,Fees,4,2,2
189,Customer Remediation,0,0,1
190,Reserve Release,1,0,0
191,Portfolio Management,0,1,0
192,Net Interest Margin,0,1,0
193,Yield,1,0,1
194,Cost of IBL,1,0,0
195,Average Deposits,0,0,1
196,Average Deposit Costs,1,0,0
197,Earnings Visibility,3,0,0
198,Transactions,6,0,0
199,User Engagement,6,0,1
200,Advertiser Engagement,5,0,0
201,Promotions,0,2,1
202,Buybacks,8,1,1
203,Digital,24,0,0
204,Capital,4,0,2
205,Commodities,1,0,0
206,Quality,2,0,0
207,Funding,2,0,0
208,Political Positioning,0,1,0
209,Intellectual Property,1,1,5
210,Transparency,1,0,1
211,Health Benefits,1,0,0
212,Membership,2,0,0
213,Outlook,1,1,1
214,Compensation,2,0,3
215,Transformation,1,0,0
216,Utilization Rates,1,0,0
217,Capital Markets,3,0,0
218,Real Estate,1,0,0
219,Long-term Debt,1,0,0
220,Asset Management,1,0,0
221,Dilution,0,0,1
222,Raw Materials,0,0,1
223,EBITDA,1,2,2
224,Geographic Performance,1,0,0
225,Trading,1,0,1
226,Loan Growth,6,0,0
227,Operating Leverage,1,0,0
228,Operating Performance,2,1,4
229,Risk,5,0,9
230,Return,3,0,4
231,Development,0,1,0
232,Fuel Costs,0,0,1
233,Network Operations,1,0,1
234,Forecasting,1,1,1
235,Predictability,3,0,0
236,Workflows,1,0,0
237,Business Model,4,0,0
238,Community,1,0,0
239,Ecosystem,1,0,0
240,Pricing Power,7,0,1
241,Deliveries,1,1,2
242,Earnings,51,4,16
243,Product Development,6,1,1
244,FAA Approval,1,0,0
245,Corporate Citizenship,1,0,0
246,Returns,0,0,2
247,Service Levels,0,0,1
248,Profit Forecast,0,0,1
249,Subscribers,1,0,0
250,Brand Equity,1,0,0
251,Input Costs,0,0,1
252,Foreign Exchange,0,0,1
253,Catalysts,0,0,1
254,Credit Loss,0,0,1
255,Strategy,2,1,0
256,Market Positioning,6,3,0
257,FICC,1,0,0
258,Equities,0,0,1
259,Income,0,0,1
260,Brand Loyalty,1,0,0
261,Currency Impact,0,0,1
262,Volume Trends,2,1,0
263,Loyalty,1,0,0
264,Earnings Power,4,0,1
265,Losses,0,0,3
266,Currency Exposure,0,1,0
267,Visibility,1,0,0
268,Investor Sentiment,3,0,0
269,Operational Risk,0,0,2
270,Consumer Engagement,2,0,0
271,Deal-Making,1,0,0
272,Service Metrics,1,0,0
