,Argument,p_total,p_value_overall,z_stat_overall,success_count,unsuccess_count,success_reports,unsuccess_reports,p_value_reports,z_stat_reports,success_opinion_score,unsuccess_opinion_score
0,API Integration,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
1,Accounting Practices,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,-0.5,0.0
2,Ad ARPU,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
3,Apparel Recovery,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,-1.0,0.0
4,Asset-Light Models,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
5,Backlog,0.01885543092215925,0.00578754474372341,-2.7595815095296174,0.0,6.0,0.0,6.0,0.00578754474372341,-2.7595815095296174,0.0,0.6666000000000001
6,Balance Sheet,0.6537814459264195,0.6097461012167273,0.5104359143777356,154.0,114.0,88.0,61.0,0.43908665593618823,0.7737364572584139,0.4091,0.5438999999999999
7,Branded Exposure,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
8,Business Transformation,0.8362360533224751,0.430580126538477,-0.788199320485316,1.0,2.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0
9,COVID Impact,0.0023325573186682557,0.0007247828875517102,-3.3800285949781195,0.0,9.0,0.0,6.0,0.00578754474372341,-2.7595815095296174,0.0,-0.3334
10,Capacity Expansion,1.0,0.7078251547775698,0.37477856792932696,2.0,1.0,2.0,1.0,0.7078251547775698,0.37477856792932696,0.0,1.0
11,Capital Markets,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,0.5,0.0
12,Capital Structure,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,0.0
13,Cash Flow,0.004370666959515582,0.003755033266700296,-2.898039472725929,222.0,229.0,121.0,107.0,0.3826608577424565,-0.8730040728982208,0.3468,0.5503
14,Clinical Trials,3.6199171382655105e-08,1.8386264196133663e-08,-5.626537676983665,17.0,56.0,10.0,17.0,0.047918868767884135,-1.978087213658816,0.35289999999999994,0.5357
15,Commercial Banking,1.0,0.8543536783130901,0.18356633084820112,3.0,2.0,3.0,2.0,0.8543536783130901,0.18356633084820112,0.3334,0.0
16,Commercial Lending,0.8362360533224751,0.430580126538477,-0.788199320485316,1.0,2.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,0.0,0.0
17,Commodities,0.8324455600582985,0.6063450967260925,0.5152975700464418,7.0,4.0,5.0,2.0,0.4086077054485443,0.8263462483555113,-1.0,0.0
18,Commodity Prices,1.0,0.9265666492473864,-0.09216537301075806,6.0,5.0,5.0,5.0,0.7058290376078233,-0.3774636976563819,0.16670000000000001,-0.6000000000000001
19,Competition,0.7003439397033273,0.6714114148975042,0.42421171911457345,384.0,293.0,181.0,143.0,0.9823480033083727,-0.02212530203571252,-0.5287,-0.5939
20,Competitors,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,0.0
21,Consumer Pressure,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,-1.0
22,Consumer Spending,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
23,Consumer Trends,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,-1.0,-1.0
24,Content Spend,0.17078423352873426,0.0510359691615072,-1.9511772088999588,0.0,3.0,0.0,2.0,0.11113978039462513,-1.593090989600721,0.0,0.3334
25,Corporate Governance,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,1.0,-1.0
