,Argument,odds_ratio_total_counts,p_value_arguments,success_count,unsuccess_count,success_reports,unsuccess_reports,p_value_unique_reports,odds_ratio_unique_reports
0,API Integration,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
1,Accounting Practices,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
2,Ad ARPU,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
3,Apparel Recovery,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
4,Asset-Light Models,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
5,Backlog,0.0,0.0073243516552598,0.0,6.0,0.0,6.0,0.009094375412878105,0.0
6,Balance Sheet,1.0655222946488845,0.6209137320834746,154.0,114.0,88.0,61.0,0.19498340526609242,1.2899904884462596
7,Branded Exposure,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
8,Business Transformation,0.3940062272963155,0.5864294913635416,1.0,2.0,1.0,1.0,1.0,0.8473684210526315
9,COVID Impact,0.0,0.000626316315664934,0.0,9.0,0.0,6.0,0.009094375412878105,0.0
10,Capacity Expansion,1.5763342271429808,1.0,2.0,1.0,2.0,1.0,1.0,1.6992084432717678
11,Capital Markets,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
12,Capital Structure,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
13,Cash Flow,0.7594071670243107,0.003992354876555837,222.0,229.0,121.0,107.0,0.7465666004212763,0.9394680086268872
14,Clinical Trials,0.2381297790205637,1.8117522809293137e-08,17.0,56.0,10.0,17.0,0.0780102450373732,0.48517520215633425
15,Commercial Banking,1.1822231833910035,1.0,3.0,2.0,3.0,2.0,1.0,1.2738095238095237
16,Commercial Lending,0.3940062272963155,0.5864294913635416,1.0,2.0,1.0,1.0,1.0,0.8473684210526315
17,Commodities,1.3794349255797853,0.7648442721982195,7.0,4.0,5.0,2.0,0.4619521218791385,2.1343085106382977
18,Commodity Prices,0.9457125551613741,1.0,6.0,5.0,5.0,5.0,1.0,0.8457446808510638
19,Competition,1.03402070007544,0.6939601047810957,384.0,293.0,181.0,143.0,0.40460380204025603,1.1391608391608392
