url,title,published_date,full_text,source,company_name,company_name_short,company_id,industry_general,industry
https://www.marketscreener.com/quote/stock/PFIZER-INC-23365019/news/PFIZER-INC-UBS-reaffirms-its-Neutral-rating-45203610/,PFIZER INC  :  UBS reaffirms its Neutral rating,"October 31, 2023 at 05:09 pm EDT",UBS's research confirms his advice and maintains his neutral opinion on the stock. The target price continues to be set at USD 34.,© MarketScreener with dpa-AFX Analyser - 2023,"Pfizer, Inc.",PFE,US7170811035,Equities,Pharmaceuticals
https://www.marketscreener.com/quote/stock/BBVA-69719/news/BBVA-JP-Morgan-reiterates-its-Neutral-rating-45202762/,BBVA   :  JP Morgan reiterates its Neutral rating,"October 31, 2023 at 04:00 pm EDT",Sofie Peterzens from JP Morgan retains his Neutral opinion on the stock. The target price is increased from EUR 8.90 to EUR 9.30.,© MarketScreener with dpa-AFX Analyser - 2023,BBVA,BBVA,ES0113211835,Equities,Banks
https://www.marketscreener.com/quote/stock/HSBC-HOLDINGS-PLC-16896790/news/HSBC-HLDGS-Buy-rating-from-RBC-45202458/,HSBC HLDGS  :  Buy rating from RBC,"October 31, 2023 at 02:59 pm EDT","Already positive, the research from RBC and its analyst Benjamin Toms still consider the stock as a Buy opportunity. The target price remains set at GBX 825.",© MarketScreener with dpa-AFX Analyser - 2023,HSBC Holdings plc,HSBA,GB0005405286,Equities,Banks
https://www.marketscreener.com/quote/stock/ANHEUSER-BUSCH-INBEV-SA-N-31571356/news/AB-INBEV-Jefferies-reaffirms-its-Neutral-rating-45202140/,AB INBEV  :  Jefferies reaffirms its Neutral rating,"October 31, 2023 at 02:05 pm EDT","In a research note published by Edward Mundy, Jefferies gives a Neutral rating to the stock. The target price is slightly modified from 57 to 56 EUR.",© MarketScreener with dpa-AFX Analyser - 2023,Anheuser-Busch InBev SA/NV,ABI,BE0974293251,Equities,Brewers
https://www.marketscreener.com/quote/stock/CATERPILLAR-INC-4817/news/CATERPILLAR-INC-Buy-rating-from-JP-Morgan-45201073/,CATERPILLAR INC  :  Buy rating from JP Morgan,"October 31, 2023 at 12:25 pm EDT",Tami Zakaria from JP Morgan retains his positive opinion on the stock with a Buy rating. The target price is unchanged and still at USD 320.,© MarketScreener with dpa-AFX Analyser - 2023,Caterpillar Inc.,CAT,US1491231015,Equities,Heavy Machinery & Vehicles
https://www.marketscreener.com/quote/stock/APPLE-INC-4849/news/APPLE-INC-UBS-remains-Neutral-45201067/,APPLE INC  :  UBS remains Neutral,"October 31, 2023 at 12:24 pm EDT","In a research note published by David Vogt, UBS gives a Neutral rating to the stock. The target price continues to be set at USD 190.",© MarketScreener with dpa-AFX Analyser - 2023,Apple Inc.,AAPL,US0378331005,Equities,Phones & Handheld Devices
https://www.marketscreener.com/quote/stock/KNORR-BREMSE-AG-46576463/news/KNORR-BREMSE-JP-Morgan-gives-a-Buy-rating-45201052/,KNORR-BREMSE  :  JP Morgan gives a Buy rating,"October 31, 2023 at 12:22 pm EDT",Analyst Akash Gupta from JP Morgan research considers the stock attractive and recommends it with a Buy rating. The target price is still set at EUR 77.,© MarketScreener with dpa-AFX Analyser - 2023,Knorr-Bremse AG,KBX,DE000KBX1006,Equities,Heavy Machinery & Vehicles
https://www.marketscreener.com/quote/stock/WAVESTONE-45568714/news/Wavestone-Stifel-confirms-its-recommendation-on-the-stock-45200436/,WAVESTONE :  Stifel confirms its recommendation on the stock,"October 31, 2023 at 11:20 am EDT","Stifel maintains its Buy rating on Wavestone shares, with an unchanged target price of 60 euros. As a reminder, Wavestone yesterday published quarterly sales of 133 ME, up +14% organically, a performance well above Stifel's expectations. The broker considers this publication 'very reassuring', as it enables the group to confirm its ambition of +7% organic growth for the year, despite a clear slowdown in the second half.Copyright (c) 2023 CercleFinance.com. All rights reserved.The information and analyses published by Cercle Finance are intended solely as decision-making aids for investors. Cercle Finance cannot be held responsible, directly or indirectly, for the use of information and analyses by readers. Uninformed investors are advised to consult a professional advisor before investing. This information does not constitute an invitation to sell or a solicitation to buy.",© Cercle Finance - 2023,Wavestone,WAVE,FR0013357621,Equities,IT Services & Consulting
https://www.marketscreener.com/quote/stock/TEAMVIEWER-SE-66480659/news/TEAMVIEWER-DZ-Bank-sticks-Neutral-45200345/,TEAMVIEWER  :  DZ Bank sticks Neutral,"October 31, 2023 at 11:08 am EDT",Armin Kremser from DZ Bank retains his Neutral opinion on the stock.,© MarketScreener with dpa-AFX Analyser - 2023,TeamViewer SE,TMV,DE000A2YN900,Equities,Software
https://www.marketscreener.com/quote/stock/BASF-SE-6443227/news/JPMorgan-leaves-BASF-at-Overweight-Target-58-euros-45194357/,JPMorgan leaves BASF at 'Overweight' - Target 58 euros,"October 31, 2023 at 10:29 am EDT","NEW YORK (dpa-AFX) - U.S. bank JPMorgan left its rating on BASF at ""Overweight"" with a price target of 58 euros after final figures for the third quarter. These were in line with previously significantly reduced market expectations, analyst Chetan Udeshi wrote in a research note presented on Tuesday. Free cash flow from July to September, meanwhile, was strong, ten percent above his estimate./bek/ajx      Original study publication date: 10/31/2023 / 07:06 GMT.  First disclosure of the original study: 31.10.2023 / 07:14 / GMT----------------------- dpa-AFX Broker - the Trader News from dpa-AFX-----------------------",© dpa-AFX - 2023,BASF SE,BAS,DE000BASF111,Equities,Diversified Chemicals
